place_id,estado,lat,lon,precio_magna,precio_premium,precio_diesel,nombre,cre_id
11703,Guanajuato,21.14916,-101.6634,22.95,27.9,,SERVICIO LAS TORRES SUR SA DE CV,PL/9999/EXP/ES/2015
11702,Sinaloa,24.75731,-107.7192,24.7,30.3,27.99,VIGO HIDROCARBUROS SA DE CV,PL/9998/EXP/ES/2015
11701,Tamaulipas,25.84436,-97.50779,20.49,,27.69,ENERGETICOS VALLE HERMOSO SA DE CV,PL/9997/EXP/ES/2015
11700,Chiapas,16.54859,-92.89879,23.58,27.85,27.45,CARLOS CESARIN ORTEGA TRUJILLO,PL/9996/EXP/ES/2015
11699,Sonora,30.72127,-112.1722,22.29,,,GASOLINERA EL COYOTE SA DE CV,PL/9995/EXP/ES/2015
11697,Veracruz,18.90257,-96.98308,23.99,27.79,,LOS CAFETOS DE FORTIN SA DE CV,PL/9993/EXP/ES/2015
11696,Baja California,32.63746,-115.413,22.15,27.5,26.5,AUTO SERVICIO OSMAR SA DE CV,PL/9992/EXP/ES/2015
11695,Veracruz,18.88644,-96.96716,23.99,27.79,,SERVICIO LOS CAFETOS SA DE CV,PL/9991/EXP/ES/2015
11694,Veracruz,18.85467,-96.85984,23.99,27.79,,GASOLINERIA LOS CAFETOS SA DE CV,PL/9990/EXP/ES/2015
3153,Baja California,32.56962,-115.4234,21.29,28.29,27.99,SERVICIO CIBOLA SA DE CV,PL/999/EXP/ES/2015
11693,Veracruz,18.90248,-96.9775,23.95,28.25,,SUPER GAS DE FORTIN SA DE CV,PL/9989/EXP/ES/2015
11692,Tlaxcala,19.84059,-97.57682,23.8,27.99,27.0,SERVICIO Y COMBUSTIBLES NORORIENTAL S DE RL DE CV,PL/9988/EXP/ES/2015
11691,Baja California,32.54488,-116.9167,,,24.99,BELLAS ARTES GASOLINERA SA DE CV,PL/9987/EXP/ES/2015
11690,Veracruz,18.88586,-96.92522,23.59,27.79,,LUIS IGNACIO LIBREROS TREJO,PL/9986/EXP/ES/2015
11395,Jalisco,20.44519,-103.2458,23.99,26.18,25.99,COMBUSTIBLES PLATANITO SA DE CV,PL/9985/EXP/ES/2015
11394,Queretaro,20.64242,-100.4155,24.99,29.99,27.0,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/9984/EXP/ES/2015
11393,Michoacan,17.95762,-102.2159,23.79,27.36,28.0,GASOLINERA LAS TRUCHAS SA DE CV,PL/9983/EXP/ES/2015
11392,Ciudad de Mexico,19.54499,-99.27259,23.99,29.49,,OPERADORA ADCLA SA DE CV,PL/9982/EXP/ES/2015
11391,Baja California,32.46336,-116.8113,21.99,28.99,27.99,ESTACION DE SERVICIO PUERTA GRANDE S DE RL DE CV,PL/9981/EXP/ES/2015
11390,Chihuahua,28.72277,-106.143,23.99,28.99,,SERVICIO RG SA DE CV,PL/9980/EXP/ES/2015
2802,Baja California,32.5456,-116.9096,23.99,29.49,27.99,ESTACION DE SERVICIO PUERTA DE MEXICO S DE RL DE CV,PL/998/EXP/ES/2015
11389,Nuevo Leon,27.51252,-99.55907,20.85,26.49,,CARBURANTES EL CARRIZO SA DE CV,PL/9979/EXP/ES/2015
11388,Zacatecas,22.36256,-102.8845,23.99,28.99,28.28,SERVICIO VILLANUEVA SA DE CV,PL/9978/EXP/ES/2015
11387,Queretaro,20.65376,-100.3441,23.99,28.49,27.99,AUTOSERVICIO QUERETANO SA DE CV,PL/9977/EXP/ES/2015
11386,Queretaro,20.46232,-100.0988,,27.99,,SERVICIOS LA VIRGEN SA DE CV,PL/9976/EXP/ES/2015
11385,Chihuahua,28.68087,-106.0024,23.99,27.99,27.99,MARGARITA SOLIS MUÑIZ,PL/9975/EXP/ES/2015
11384,Jalisco,20.49921,-103.3401,23.99,28.79,28.29,PETRO SERVICIOS DE OCCIDENTE SA DE CV,PL/9974/EXP/ES/2015
11383,Guanajuato,20.56469,-101.1843,27.99,,,HERMILA ASCENCIO RUEDA,PL/9973/EXP/ES/2015
11382,Puebla,18.99373,-98.22421,23.99,28.19,,GPDC ESTACIONES DE SERVICIO SA DE CV,PL/9972/EXP/ES/2015
