estado,num_estaciones,magna_promedio,magna_min,magna_max,premium_promedio,premium_min,premium_max,diesel_promedio,diesel_min,diesel_max,lat,lon
Aguascalientes,308,23.96,22.99,24.99,28.95,23.69,29.99,28.0,19.75,30.5,21.8853,-102.2916
Baja California,676,22.75,18.65,25.49,27.86,20.55,29.99,27.41,19.99,29.49,30.8406,-115.2838
Baja California Sur,135,24.17,22.87,25.5,29.17,24.85,30.49,28.39,26.6,30.9,26.0444,-111.6661
Campeche,93,24.0,23.3,24.99,28.49,27.59,28.99,27.49,26.99,28.99,19.8301,-90.5349
Chiapas,349,23.75,19.59,24.69,28.14,17.67,30.99,27.39,20.5,30.97,16.7569,-93.1292
Chihuahua,568,22.22,18.29,24.99,26.79,20.69,29.99,27.34,23.79,29.95,28.6353,-106.0889
Ciudad de Mexico,1170,23.71,19.25,24.8,28.37,20.49,29.99,27.39,20.35,29.99,19.4326,-99.1332
Coahuila,203,23.29,18.91,26.99,27.9,19.45,30.1,27.8,22.45,29.99,27.0587,-101.7068
Colima,233,23.96,22.5,24.99,28.93,25.59,29.99,28.3,26.29,30.0,19.2452,-103.7241
Durango,375,23.99,22.75,24.99,28.94,24.1,30.25,27.83,24.67,29.99,24.5593,-104.6588
Guanajuato,494,23.94,22.56,28.09,29.24,24.99,30.39,28.14,26.18,29.99,21.019,-101.2574
Guerrero,192,23.87,22.59,25.8,28.63,26.5,30.6,28.08,26.8,29.99,17.4392,-99.5451
Hidalgo,508,23.8,22.9,28.59,28.15,24.49,29.99,27.63,25.29,29.5,20.0911,-98.7624
Jalisco,764,23.96,22.39,26.98,29.26,22.99,30.95,27.99,21.35,29.99,20.6595,-103.3494
Mexico,477,23.77,22.28,27.6,28.24,24.79,29.99,27.62,24.99,29.99,19.4969,-99.7233
Michoacan,453,23.96,22.8,28.79,28.72,23.99,29.99,28.13,26.35,29.94,19.5665,-101.7068
Morelos,252,23.83,21.99,24.99,28.3,23.99,29.7,27.4,23.99,29.0,18.6813,-99.1013
Nayarit,280,24.1,22.59,27.56,29.24,25.89,30.99,28.08,24.33,29.99,21.7514,-104.8455
Nuevo Leon,1103,23.33,18.45,25.49,28.67,21.44,30.03,27.44,21.26,29.7,25.5922,-99.9962
Oaxaca,252,24.04,23.34,24.9,29.05,25.5,30.97,28.27,26.65,30.35,17.0732,-96.7266
Puebla,478,23.71,20.55,24.61,28.02,20.99,29.99,27.65,21.89,29.99,19.0414,-98.2063
Queretaro,625,23.74,21.09,24.99,28.48,23.89,29.99,27.77,22.29,29.99,20.5888,-100.3899
Quintana Roo,93,24.61,23.95,25.98,28.42,26.73,29.56,28.46,27.0,29.67,19.1817,-88.4791
San Luis Potosi,261,23.93,20.99,24.34,28.41,25.99,29.99,27.85,25.97,28.85,22.1565,-100.9855
Sinaloa,580,24.05,22.59,27.0,28.92,23.99,31.36,28.06,24.15,31.5,25.1721,-107.4795
Sonora,461,23.51,18.69,25.89,28.73,22.75,29.99,27.5,24.59,30.99,29.2972,-110.3309
Tabasco,365,23.79,20.35,26.15,27.94,19.5,30.1,27.33,21.65,29.5,17.8409,-92.6189
Tamaulipas,383,22.75,18.69,24.99,26.73,17.44,29.99,27.09,17.05,29.9,24.2669,-98.8363
Tlaxcala,304,23.75,21.49,25.44,27.96,23.49,29.34,27.54,21.5,29.99,19.3139,-98.24
Veracruz,553,23.81,20.9,25.29,27.89,22.9,29.84,27.62,24.79,29.7,19.1738,-96.1342
Yucatan,492,24.25,22.19,26.9,28.2,26.74,28.99,28.08,26.98,31.0,20.7099,-89.0943
Zacatecas,169,23.99,22.97,24.99,28.76,27.29,29.99,27.95,27.0,29.39,22.7709,-102.5832
